Title,Year,Genres,Language,Country,Content_Rating,Duration,Aspect_Ratio,Budget,Gross_Earnings,Director,Actor1,Actor2,Actor3,Reviews_by_Users,Reviews_by_Critics,IMDB_Score
Cavite,2005,Thriller,English,Philippines,Not Rated,80,NA,7000,70071,Neill Dela Llana,Ian Gamazon,Edgar Tancangco,Quynn Ton,35,35,6.3
Charlie and the Chocolate Factory,2005,Adventure Comedy Family Fantasy,English,USA,PG,115,1.85,150000000,206456431,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,1361,276,6.7
Cheaper by the Dozen 2,2005,Adventure Comedy Family,English,USA,PG,94,2.35,60000000,82569532,Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,128,77,5.4
Chicken Little,2005,Adventure Animation Comedy Family Sci-Fi,English,USA,G,81,1.85,150000000,135381507,Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,251,161,5.8
Chicken Tikka Masala,2005,Comedy Drama Romance,English,UK,NA,90,1.85,1200000,NA,Harmage Singh Kalirai,Saeed Jaffrey,Zohra Segal,Shobu Kapoor,14,10,5.8
Cinderella Man,2005,Biography Drama Sport,English,USA,PG-13,144,2.35,88000000,61644321,Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,529,201,8
Coach Carter,2005,Drama Sport,English,USA,PG-13,136,2.35,30000000,67253092,Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,209,127,7.2
Conversations with Other Women,2005,Comedy Drama Romance,English,UK,R,84,2.39,450000,379122,Hans Canosa,Olivia Wilde,Thomas Lennon,Nora Zehetner,54,365,7.1
Corpse Bride,2005,Animation Drama Family Fantasy Musical Romance,English,USA,PG,77,1.85,40000000,53337608,Tim Burton,Johnny Depp,Christopher Lee,Joanna Lumley,467,267,7.4
Cry_Wolf,2005,Drama Horror Mystery Thriller,English,USA,PG-13,90,2.35,1000000,10042266,Jeff Wadlow,Julian Morris,Gary Cole,Lindy Booth,220,137,5.9
Cursed,2005,Comedy Horror,English,USA,PG-13,99,2.35,35000000,19294901,Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,325,158,5
Dark Water,2005,Drama Horror Thriller,English,USA,PG-13,103,2.35,30000000,25472967,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,411,196,5.6
Dave Chappelle's Block Party,2005,Comedy Documentary Music,English,USA,R,100,1.85,3000000,11694528,Michel Gondry,Common,Dave Chappelle,Lauryn Hill,72,114,7.2
Derailed,2005,Drama Thriller,English,USA,R,112,2.35,22000000,36020063,Mikael HÃ¥fstrÃ¶m,Denis O'Hare,RZA,Xzibit,375,116,6.6
Deuce Bigalow: European Gigolo,2005,Comedy,English,USA,R,83,1.85,22000000,22264487,Mike Bigelow,Carlos Ponce,Eddie Griffin,Charles Keating,166,98,4.6
Diary of a Mad Black Woman,2005,Comedy Drama Romance,English,USA,PG-13,116,1.85,5500000,50382128,Darren Grant,Cicely Tyson,Kimberly Elise,Tamara Taylor,202,62,5.6
Dil Jo Bhi Kahey...,2005,Romance,English,India,NA,144,NA,70000000,129319,Romesh Sharma,Annabelle Wallis,Revathy,Bhoomika Chawla,4,4,5.1
Domino,2005,Action Biography Crime Drama Thriller,English,France,R,127,2.35,50000000,10137232,Tony Scott,Ian Ziering,Mo'Nique,Edgar RamÃ­rez,374,186,6
Doom,2005,Action Adventure Horror Sci-Fi,English,UK,R,113,2.35,60000000,28031250,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,814,237,5.2
Down in the Valley,2005,Drama Romance Thriller,English,USA,R,108,2.35,8000000,568695,David Jacobson,Hunter Parrish,Bruce Dern,Rory Culkin,110,74,6.5
Dreamer: Inspired by a True Story,2005,Drama Family Sport,English,USA,PG,98,2.35,32000000,32701088,John Gatins,Ken Howard,Freddy RodrÃ­guez,Holmes Osborne,108,75,6.9
Duma,2005,Adventure Drama Family,English,USA,PG,100,1.85,12000000,860002,Carroll Ballard,Eamonn Walker,Hope Davis,Campbell Scott,43,38,7.3
Dungeons & Dragons: Wrath of the Dragon God,2005,Action Adventure Fantasy,English,Germany,Not Rated,105,1.78,15000000,2598616,Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,108,26,4.9
Edmond,2005,Drama Thriller,English,USA,R,82,1.85,10000000,131617,Stuart Gordon,Joe Mantegna,DulÃ© Hill,Jeffrey Combs,119,79,6.3
Elektra,2005,Action Crime Fantasy Thriller,English,Canada,PG-13,100,2.35,43000000,24407944,Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,380,196,4.8
Elizabethtown,2005,Comedy Drama Romance,English,USA,PG-13,123,1.85,57000000,26838389,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,495,190,6.4
End of the Spear,2005,Adventure Drama,English,USA,PG-13,108,2.35,10000000,11703287,Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,148,47,7
Feast,2005,Action Comedy Horror Thriller,English,USA,R,95,2.35,3200000,690872,John Gulager,Krista Allen,Eric Dane,Henry Rollins,252,130,6.4
Fetching Cody,2005,Drama Fantasy Romance,English,Canada,NA,87,NA,1500000,NA,David Ray,Nicole MuÃ±oz,Sarah Lind,Kyla Wise,10,16,6.8
Fever Pitch,2005,Comedy Drama Romance Sport,English,USA,PG-13,104,2.35,30000000,42071069,Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,208,124,6.2
Flightplan,2005,Drama Mystery Thriller,English,USA,PG-13,98,2.35,55000000,89706988,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,600,231,6.2
Forty Shades of Blue,2005,Drama Music Romance,English,USA,R,108,1.85,1500000,172569,Ira Sachs,Rip Torn,Jenny O'Hara,Darren E. Burrows,26,39,6
Four Brothers,2005,Action Crime Drama Mystery Thriller,English,USA,R,109,2.35,45000000,74484168,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,340,123,6.9
Fun with Dick and Jane,2005,Comedy Crime,English,USA,PG-13,90,2.35,100000000,110332737,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,258,135,6.1
Get Rich or Die Tryin',2005,Biography Crime Drama Music,English,USA,R,117,2.35,40000000,30981850,Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,284,98,5
Goal! The Dream Begins,2005,Drama Romance Sport,English,USA,PG-13,118,2.35,10000000,4280577,Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,114,90,6.8
"Good Night, and Good Luck.",2005,Biography Drama History,English,USA,PG,93,1.85,7500000,31501218,George Clooney,Robert Downey Jr.,Tate Donovan,Alex Borstein,526,351,7.5
Guess Who,2005,Comedy Romance,English,USA,PG-13,105,1.85,35000000,67962333,Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,160,104,5.9
Hard Candy,2005,Crime Drama Thriller,English,USA,R,104,2.35,950000,1007962,David Slade,Odessa Rae,G.J. Echternkamp,Patrick Wilson,651,231,7.1
Harry Potter and the Goblet of Fire,2005,Adventure Family Fantasy Mystery,English,UK,PG-13,157,2.35,150000000,289994397,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,1896,295,7.6
Harsh Times,2005,Action Crime Drama Thriller,English,USA,R,116,1.85,2000000,3335839,David Ayer,J.K. Simmons,Christian Bale,Noel Gugliemi,222,118,7
Herbie Fully Loaded,2005,Adventure Comedy Family Fantasy Romance Sport,English,USA,G,101,1.85,50000000,66002004,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,168,117,4.7
Hide and Seek,2005,Drama Horror Mystery Thriller,English,USA,R,101,2.35,30000000,51097664,John Polson,Robert De Niro,Dylan Baker,Robert John Burke,450,180,5.9
Hitch,2005,Comedy Romance,English,USA,PG-13,118,2.35,70000000,177575142,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,372,171,6.6
Hoodwinked!,2005,Action Animation Comedy Crime Family,English,USA,PG,80,1.85,17500000,51053787,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,247,142,6.5
Hostage,2005,Action Crime Drama Mystery Thriller,English,USA,R,113,2.35,52000000,34636443,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,288,152,6.6
Hostel,2005,Horror,English,USA,R,93,2.35,4800000,47277326,Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,1516,303,5.9
House of Wax,2005,Horror,English,Australia,R,108,1.85,30000000,32048809,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,576,228,5.3
Hustle & Flow,2005,Crime Drama Music,English,USA,R,116,1.85,8000000,22201636,Craig Brewer,Isaac Hayes,Paula Jai Parker,Elise Neal,206,159,7.4
Ice Princess,2005,Comedy Drama Family Sport,English,USA,G,98,1.85,25000000,24381334,Tim Fywell,Connie Ray,Trevor Blumas,Amy Stewart,81,67,6
Imagine Me & You,2005,Comedy Drama Romance,English,UK,R,90,2.35,7900000,671240,Ol Parker,Celia Imrie,Ben Miles,Darren Boyd,149,85,6.9
Inside Deep Throat,2005,Biography Documentary History,English,USA,NC-17,89,1.85,2000000,653621,Fenton Bailey,Hugh M. Hefner,Bill Maher,Linda Lovelace,64,123,6.8
Insomnia Manica,2005,Thriller,English,USA,NA,127,1.33,500000,NA,Daston Kalili,Daston Kalili,Rai Alexandra,Chin-Chien Chang,3,NA,5.8
Into the Blue,2005,Action Adventure Crime Thriller,English,USA,PG-13,110,2.35,50000000,18472363,John Stockwell,Paul Walker,James Frain,Ashley Scott,208,120,5.8
Jarhead,2005,Action Drama War,English,Germany,R,125,2.35,70000000,62647540,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,657,262,7.1
Joyeux Noel,2005,Drama History Music Romance War,French,France,PG-13,116,2.35,22000000,1050445,Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,147,115,7.8
Just Like Heaven,2005,Comedy Fantasy Romance,English,USA,PG-13,95,1.85,58000000,48291624,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,263,142,6.7
Kicking & Screaming,2005,Comedy Family Romance Sport,English,USA,PG,95,2.35,45000000,52580895,Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,118,94,5.6
King Kong,2005,Action Adventure Drama Romance,English,New Zealand,PG-13,201,2.35,207000000,218051260,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,2618,446,7.2
Kingdom of Heaven,2005,Action Adventure Drama History War,English,USA,R,194,2.35,130000000,47396698,Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,942,239,7.2
King's Ransom,2005,Comedy Crime,English,USA,PG-13,95,1.85,15000000,4006906,Jeffrey W. Byrd,Donald Faison,Loretta Devine,Regina Hall,20,23,4.1
Kiss Kiss Bang Bang,2005,Comedy Crime Mystery,English,USA,R,103,2.35,15000000,4235837,Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,336,223,7.6
Land of the Dead,2005,Horror,English,Canada,R,97,2.35,15000000,20433940,George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,662,252,6.2
London,2005,Drama Romance,English,UK,R,92,2.35,14000,12667,Hunter Richards,Jason Statham,Chris Evans,Dane Cook,90,34,6.6
Lonesome Jim,2005,Comedy Drama,English,USA,R,91,1.85,500000,154077,Steve Buscemi,Kevin Corrigan,Seymour Cassel,Mary Kay Place,53,81,6.6
Lord of War,2005,Crime Drama Thriller,English,USA,R,122,2.35,50000000,24127895,Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,437,168,7.6
Lords of Dogtown,2005,Biography Drama Sport,English,USA,PG-13,107,1.85,25000000,11008432,Catherine Hardwicke,Heath Ledger,Michael Angarano,Rebecca De Mornay,194,119,7.1
Mad Hot Ballroom,2005,Documentary Family Music,English,USA,PG,105,1.85,500000,8044906,Marilyn Agrelo,Heather Berman,Eva Carrozza,Paul Daggett,65,84,7.5
Madagascar,2005,Adventure Animation Comedy Family,English,USA,PG,86,1.85,75000000,193136719,Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,385,181,6.9
Man of the House,2005,Action Comedy,English,USA,PG-13,100,2.35,40000000,19118247,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,94,59,5.4
Manderlay,2005,Drama,English,Denmark,Not Rated,139,2.35,14200000,74205,Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,81,140,7.4
March of the Penguins,2005,Documentary,French,France,G,80,1.85,8000000,77413017,Luc Jacquet,Morgan Freeman,Sofie GrÃ¥bÃ¸l,Romane Bohringer,331,169,7.6
Match Point,2005,Drama Romance Thriller,English,UK,R,119,1.85,15000000,23089926,Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,735,278,7.7
Me and You and Everyone We Know,2005,Comedy Drama,English,USA,R,91,1.85,2000000,3885134,Miranda July,Najarra Townsend,Brad William Henke,Miranda July,243,151,7.4
Memoirs of a Geisha,2005,Drama Romance,English,USA,PG-13,145,2.35,85000000,57010853,Rob Marshall,Li Gong,Mako,Karl Yune,548,229,7.3
Mirrormask,2005,Adventure Fantasy,English,UK,PG,101,1.85,4000000,864959,Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,151,116,6.9
Miss Congeniality 2: Armed and Fabulous,2005,Action Comedy Crime,English,USA,PG-13,115,2.35,45000000,48472213,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,156,111,5
Monster-in-Law,2005,Comedy Romance,English,Germany,PG-13,101,2.35,60000000,82931301,Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,228,132,5.5
Mr. & Mrs. Smith,2005,Action Comedy Crime Romance Thriller,English,USA,PG-13,126,2.35,120000000,186336103,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,798,233,6.5
Mrs Henderson Presents,2005,Comedy Drama Music War,English,UK,R,103,1.85,20000000,11034436,Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,180,137,7.1
Munich,2005,Drama History Thriller,English,France,R,163,2.35,70000000,47379090,Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,824,298,7.6
Murderball,2005,Documentary Sport,English,USA,R,88,1.85,1750211,1523883,Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,70,110,7.8
Must Love Dogs,2005,Comedy Romance,English,USA,PG-13,98,2.35,30000000,43894863,Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,262,120,5.9
Mutual Appreciation,2005,Comedy,English,USA,R,109,1.66,30000,NA,Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Justin Rice,23,52,6.9
My Big Fat Independent Movie,2005,Comedy,English,USA,R,80,1.78,3000000,12155249,Philip Zlotorynski,Neil Hopkins,Darren Keefe Reiher,David Douglas,24,14,3.3
Nanny McPhee,2005,Comedy Family Fantasy,English,USA,PG,97,2.35,25000000,47124400,Kirk Jones,Colin Firth,Kelly Macdonald,Imelda Staunton,181,128,6.6
Neal 'N' Nikki,2005,Comedy Musical Romance,English,India,NA,97,2.35,1500000,100358,Arjun Sablok,Abhishek Bachchan,Uday Chopra,Samantha McLeod,24,5,3.3
North Country,2005,Drama,English,USA,R,126,2.35,35000000,18324242,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,214,155,7.3
Oliver Twist,2005,Crime Drama,English,UK,PG-13,130,2.35,50000000,1987287,Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,138,127,6.9
Pooh's Heffalump Movie,2005,Animation Family Fantasy Mystery,English,USA,G,68,1.85,20000000,18081626,Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,32,45,6.4
Pride & Prejudice,2005,Drama Romance,English,France,PG,135,2.35,28000000,38372662,Joe Wright,Talulah Riley,Brenda Blethyn,Simon Woods,1058,177,7.8
Racing Stripes,2005,Adventure Comedy Drama Family Sport,English,USA,PG,102,1.85,30000000,49186871,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,86,73,5.2
Red Eye,2005,Mystery Thriller,English,USA,PG-13,85,2.35,26000000,57859105,Wes Craven,Robert Pine,Carl Gilliard,Suzie Plakson,673,224,6.5
Rent,2005,Drama Musical Romance,English,USA,PG-13,135,2.35,40000000,29077547,Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,754,146,7
Rize,2005,Documentary Music,English,USA,PG-13,86,1.33,700000,3278611,David LaChapelle,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,46,49,7.1
Robots,2005,Adventure Animation Comedy Family Sci-Fi,English,USA,PG,91,1.85,75000000,128200012,Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,269,163,6.3
Roll Bounce,2005,Comedy Drama Music Romance,English,USA,PG-13,112,2.35,10000000,17378977,Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,75,55,6
Romance & Cigarettes,2005,Comedy Musical Romance,English,USA,R,105,2.35,NA,540085,John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard,69,87,6.3
Sahara,2005,Action Adventure Comedy Thriller,English,UK,PG-13,124,2.35,130000000,68642452,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,463,163,6
Saw II,2005,Horror Mystery,English,USA,R,95,1.85,4000000,87025093,Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,864,250,6.6
Serenity,2005,Action Adventure Sci-Fi Thriller,English,USA,PG-13,119,2.35,40000000,25335935,Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,1594,276,8
Shopgirl,2005,Drama Romance,English,USA,R,106,2.35,NA,10281585,Anand Tucker,Frances Conroy,Bridgette Wilson-Sampras,Clyde Kusatsu,268,124,6.4
Sin City,2005,Crime Thriller,English,USA,R,147,1.85,40000000,74098862,Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas,1732,374,8.1
Sisters in Law,2005,Documentary,English,Cameroon,Not Rated,104,NA,290000,32631,Florence Ayisi,Vera Ngassa,Beatrice Ntuba,NA,8,27,7.5
Sky High,2005,Adventure Comedy Family Sci-Fi,English,USA,PG,100,2.35,35000000,63939454,Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,217,127,6.2
Slow Burn,2005,Drama Mystery Thriller,English,USA,R,93,1.85,15500000,1181197,Wayne Beach,Mekhi Phifer,LL Cool J,Fisher Stevens,24,40,5.9
Son of the Mask,2005,Comedy Family Fantasy,English,USA,PG,94,1.85,84000000,17010646,Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,239,78,2.2
Star Wars: Episode III - Revenge of the Sith,2005,Action Adventure Fantasy Sci-Fi,English,USA,PG-13,140,2.35,113000000,380262555,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,3286,359,7.6
Stealth,2005,Action Adventure Sci-Fi Thriller,English,USA,PG-13,121,2.35,135000000,31704416,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,388,145,5
Supercross,2005,Action Drama Romance Sport,English,USA,PG-13,80,1.85,30000000,3101301,Steve Boyum,Channing Tatum,Mike Vogel,Steve Howey,38,41,4
Syriana,2005,Drama Thriller,English,USA,R,128,2.35,50000000,50815288,Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,625,358,7
Thank You for Smoking,2005,Comedy Drama,English,USA,R,92,2.35,6500000,24792061,Jason Reitman,J.K. Simmons,Cameron Bright,Todd Louiso,323,239,7.6
The 40-Year-Old Virgin,2005,Comedy Romance,English,USA,R,133,1.85,26000000,109243478,Judd Apatow,Steve Carell,Romany Malco,Gerry Bednob,546,217,7.1
The Adventures of Sharkboy and Lavagirl 3-D,2005,Action Adventure Family Fantasy,English,USA,PG,93,1.85,50000000,39177541,Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,177,66,3.5
The Amityville Horror,2005,Drama Horror Mystery Thriller,English,USA,R,90,2.35,19000000,64255243,Andrew Douglas,Jimmy Bennett,ChloÃ« Grace Moretz,Ryan Reynolds,518,220,6
The Ballad of Jack and Rose,2005,Drama,English,USA,R,112,1.66,1500000,712294,Rebecca Miller,Beau Bridges,Susanna Thompson,Ryan McDonald,68,75,6.7
The Blood of My Brother,2005,Documentary War,English,USA,NA,90,1.66,120000,NA,Andrew Berends,NA,NA,NA,7,12,6.6
The Brothers Grimm,2005,Action Adventure Comedy Fantasy Thriller,English,USA,PG-13,118,1.85,88000000,37899638,Terry Gilliam,Matt Damon,Heath Ledger,Mackenzie Crook,492,233,5.9
The Californians,2005,Drama,English,USA,PG,87,1.85,500000,NA,Jonathan Parker,Keith Carradine,Joanne Whalley,Illeana Douglas,11,2,5
The Call of Cthulhu,2005,Fantasy Horror Mystery Thriller,English,USA,NA,47,1.33,50000,NA,Andrew Leman,Dan Novy,David Mersault,Barry Lynch,99,60,7.3
The Cave,2005,Adventure Horror Thriller,English,USA,PG-13,93,2.35,30000000,14888028,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,262,140,5.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure Family Fantasy,English,USA,PG,150,2.35,180000000,291709845,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,1463,284,6.9
The Chumscrubber,2005,Comedy Drama,English,USA,R,108,2.35,6800000,49526,Arie Posin,Rory Culkin,John Heard,Tim DeKay,129,74,7
The Constant Gardener,2005,Drama Mystery Romance Thriller,English,UK,R,129,1.85,15000000,33565375,Fernando Meirelles,Archie Panjabi,Danny Huston,Donald Sumpter,568,226,7.5
The Curse of the Were-Rabbit,2005,Animation Comedy Family Mystery Sci-Fi,English,UK,G,85,1.85,30000000,56068547,Steve Box,Mark Gatiss,Geraldine McEwan,Peter Sallis,307,209,7.5
The Dark Hours,2005,Horror Thriller,English,Canada,R,80,1.85,500000,423,Paul Fox,Dov Tiefenbach,Jeff Seymour,Gordon Currie,52,80,6.1
The Descent,2005,Adventure Horror Thriller,English,UK,R,100,2.35,3500000,26005908,Neil Marshall,MyAnna Buring,Shauna Macdonald,Craig Conway,1100,342,7.2
The Devil's Rejects,2005,Crime Horror,English,USA,R,109,1.85,7000000,16901126,Rob Zombie,Sid Haig,Ken Foree,Lew Temple,687,261,6.9
The Dukes of Hazzard,2005,Action Adventure Comedy,English,USA,PG-13,107,2.35,50000000,80270227,Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,612,144,5.1
The Exorcism of Emily Rose,2005,Drama Horror Thriller,English,USA,PG-13,122,2.35,20000000,75072454,Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,522,233,6.7
The Family Stone,2005,Comedy Drama Romance,English,USA,PG-13,103,1.85,17000000,6061759,Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,475,142,6.3
The Game of Their Lives,2005,Drama History Sport,English,USA,PG,101,2.35,20000000,375474,David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,46,21,6.2
The Greatest Game Ever Played,2005,Drama History Sport,English,USA,PG,120,1.85,26000000,15331289,Bill Paxton,Stephen Dillane,Matthew Knight,Amanda Tilson,106,86,7.5
The Helix... Loaded,2005,Action Adventure Comedy Fantasy Sci-Fi,English,USA,R,97,1.78,1000000,3700,A. Raven Cruz,Scott Levy,Vanilla Ice,Jennifer Sky,9,3,1.9
The Hitchhiker's Guide to the Galaxy,2005,Adventure Comedy Sci-Fi,English,USA,PG,109,2.35,50000000,51019112,Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,1053,276,6.8
The Island,2005,Action Adventure Romance Sci-Fi Thriller,English,USA,PG-13,136,2.35,126000000,35799026,Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,899,257,6.9
The Jacket,2005,Drama Mystery Sci-Fi Thriller,English,USA,R,94,2.35,29000000,6301131,John Maybury,Jennifer Jason Leigh,Jason Lewis,Angel Coulby,263,161,7.1
The Legend of Zorro,2005,Action Adventure Western,Spanish,USA,PG,129,2.35,75000000,45356386,Martin Campbell,Michael Emerson,Nick Chinlund,Adrian Alonso,244,137,5.9
The Longest Yard,2005,Comedy Crime Sport,English,USA,PG-13,113,2.35,82000000,158115031,Peter Segal,Adam Sandler,Steve Reevis,Dalip Singh,316,134,6.4
The Lost City,2005,Drama Romance,English,USA,R,144,1.85,9600000,2483955,Andy Garcia,Danny Pino,Victor Rivers,Enrique Murciano,165,52,6.7
The Man,2005,Action Comedy Crime,English,Germany,PG-13,83,1.85,33000000,8326035,Les Mayfield,Miguel Ferrer,Susie Essman,Gigi Rice,76,72,5.5
The Matador,2005,Comedy Crime Drama Thriller,English,USA,R,96,2.35,10000000,12570442,Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,234,191,6.8
The Mongol King,2005,Crime Drama,English,USA,PG-13,84,NA,3250,NA,Anthony Vallone,Richard Jewell,John Considine,Sara Stepnicka,1,NA,7.8
The New World,2005,Biography Drama History Romance,English,USA,PG-13,150,2.35,30000000,12712093,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,671,222,6.7
The Pacifier,2005,Action Comedy Drama Family Thriller,English,Canada,PG,95,2.35,56000000,113006880,Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,225,125,5.5
The Perfect Man,2005,Comedy Family Romance,English,USA,PG,100,1.85,25000000,16247775,Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,104,65,5.5
The Producers,2005,Comedy Musical,English,USA,PG-13,134,2.35,45000000,19377727,Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,409,168,6.4
The Proposition,2005,Crime Drama Western,English,Australia,R,104,2.35,2000000,1900725,John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,232,168,7.4
The Puffy Chair,2005,Comedy Drama Romance,English,USA,R,85,NA,15000,192467,Jay Duplass,Mark Duplass,Katie Aselton,Bari Hyman,71,51,6.6
The Quiet,2005,Drama Thriller,English,USA,R,91,2.35,900000,381186,Jamie Babbit,Katy Mixon,David Gallagher,Edie Falco,90,65,6.4
The Ring Two,2005,Horror Mystery,English,USA,PG-13,128,1.85,50000000,75888270,Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,560,196,5.4
The Rocket: The Legend of Rocket Richard,2005,Biography Drama Sport,French,Canada,PG,124,2.35,8000000,NA,Charles BinamÃ©,Stephen McHattie,Roy Dupuis,Julie LeBreton,31,20,7.7
The Salon,2005,Comedy Drama,English,USA,PG-13,90,1.85,1500000,92362,Mark Brown,Vivica A. Fox,Monica Calhoun,Garrett Morris,5,14,4.3
The Sisterhood of the Traveling Pants,2005,Comedy Drama Family Romance,English,USA,PG,119,2.35,25000000,39008741,Ken Kwapis,Mike Vogel,America Ferrera,Kyle Schmid,223,88,6.6
The Skeleton Key,2005,Horror Mystery Thriller,English,USA,PG-13,104,2.35,43000000,47806295,Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,371,193,6.5
The Squid and the Whale,2005,Comedy Drama,English,USA,R,88,1.85,1500000,7362100,Noah Baumbach,William Baldwin,Elizabeth Meriwether,Owen Kline,232,110,7.4
The Upside of Anger,2005,Comedy Drama,English,USA,R,118,2.35,9000000,18761993,Mike Binder,Alicia Witt,Erika Christensen,Joan Allen,219,125,6.9
The Weather Man,2005,Comedy Drama,English,USA,R,102,1.85,22000000,12469811,Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,316,156,6.6
The Wedding Date,2005,Comedy Romance,English,USA,PG-13,90,1.85,15000000,31585300,Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor,250,103,6.1
